_id,singkat,hasil
2287,ngasi,memberi
2288,ngasih,memberi
2289,ngasih2,memberi
2290,ngasihnya,memberinya
2291,ngaso,istirahat
2292,ngasuh,mengasuh
2293,ngatain,mengatakan
2294,ngatasi,mengatasi
2295,ngatasin,mengatasi
2296,ngatur,mengatur
2297,ngawasin,mengawasi
2298,ngawe,membuat
2299,ngawur,ngasal
2300,ngawur2an,ngasal-asalan
2301,ngayal,mengkhayal
2302,ngayalnye,mengkhayalnya
2303,ngbikin,membuat
2304,ngbom,mengebom
2305,ngbrol,mengobrol
2306,ngbuka,membuka
2307,ngdate,berkencan
2308,ngebalikin,mengembalikan
2309,ngebalikinnya,mengembalikannya
2310,ngebalikinya,mengembalikannya
2311,ngeband,main band
2312,ngebangain,membanggakan
2313,ngebanggain,membanggakan
2314,ngebangun,membangun
2315,ngebantai,membantai
2316,ngebanyol,membanyol
2317,ngebawa,membawa
2318,ngebayangin,membayangkan
2319,ngebayanginnya,membayangkannya
2320,ngebayanginya,membayangkannya
2321,ngebel,menelpon
2322,ngebelin,membelikan
2323,ngebilangin,memberitau
2324,ngeblokir,memblokir
2325,ngebo,tidur
2326,Ngebolang,berpetualang
2327,ngebolehin,membolehkan
2328,ngebom,mengebom
2329,ngebor,mengebor
2330,ngebosenin,membosankan
2331,ngebunuh,membunuh
2332,ngebut,mengebut
2333,ngebut2,kebut-kebutan
2334,ngebutz,mengebut
2335,ngebutzzz,mengebut
2336,ngecapin,mengecapi
2337,ngece,mengejek
2338,ngecek,mengecek
2339,ngeces,mengecas
2340,ngecet,mengecat
2341,ngeclub,membuat klub
2342,ngedadak,mendadak
2343,ngedarin,mengedarkan
2344,ngedate,berkencan
2345,ngedeke,membangun
2346,ngedekke,membangun
2347,ngedengkur,mendengkur
2348,ngedit,mengedit
2349,ngedit2,mengedit-edit
2350,ngedoain,mendoakan
2351,ngedor,menembak
2352,ngedp,membayar uang muka
2353,ngedufan,pergi ke dufan
2354,ngedukung,mendukung
2355,ngefolow,ngefollow
2356,ngegolin,mencetak gol
2357,ngehalau,menghalau
2358,ngehargai,menghargai
2359,ngehibur,menghibur
2360,ngehina,menghina
2361,ngehormatin,menghormati
2362,ngejagain,menjagakan
2363,ngejak,mengajak
2364,ngejalanin,menjalani
2365,ngejamin,menjamin
2366,ngejanjin,menjanjikan
2367,ngejar,mengejar
2368,ngejarnya,mengejarnya
2369,ngejek,mengejek
2370,ngejiplak,menjiplak
2371,Ngejual,menjual
2372,ngejubel,berjubel
2373,ngekek,tertawa
2374,ngeksis2an,eksis-eksisan
2375,ngeladenin,meladeni
2376,ngeladeninya,meladeninya
2377,ngelahirin,melahirkan
2378,ngelak,mengelak
2379,ngelaksonin,menglakson
2380,ngelamar,melamar
2381,ngelamun,melamun
2382,ngelanconk,melancong
2383,ngelantik,melantik
2384,ngelantur,melantur
2385,ngelap,mengelap
2386,ngelapak,berjualan
2387,ngelatihnya,melatihnya
2388,ngelawak,melucu
2389,ngeledek,mengejek
2390,ngelelepin,menenggelamkan
2391,ngelepas,melepas
2392,ngeles,membuat alasan
2393,ngelesnya,membuat alasannya
2394,ngelewatin,melewati
2395,ngeliat,melihat
2396,ngeliate,melihat
2397,ngeliatin,memperlihatkan
2398,ngeliatnya,melihatnya
2399,ngelilingin,mengelilingi
2400,ngeliput,meliput
2401,ngelirik,melirik
2402,ngelitik,menggelitik
2403,ngelive,disiarkan langsung
2404,ngelu,pusing
2405,ngeluapin,meluapkan
2406,ngeluarin,mengeluarkan
2407,ngeluarinya,mengeluarkannya
2408,ngelucu,melucu
2409,ngeluh,mengeluh
2410,ngelukis,melukis
2411,ngelupain,melupakan
2412,ngelus,mengelus
2413,ngembalin,mengembalikan
2414,ngembang,mengembang
2415,ngembun,mengembun
2416,ngemeng,ngomong
2417,ngemeng2,ngomong-ngomong
2418,ngemis2,mengemis-ngemis
2419,ngemodus,membuat modus
2420,ngemot,mengemut
2421,ngena,mengena
2422,ngenalin,mengenalkan
2423,ngendap,mengendap
2424,ngene,begini
2425,ngeneh,begini
2426,ngenes,mengenaskan
2427,ngenet,internetan
2428,ngepain,ngapain
2429,ngepel,mengepel
2430,ngepelin,mengepelkan
2431,ngerakit,merakit
2432,ngeramal,meramal
2433,ngeramein,meramaikan
2434,ngerampok,merampok
2435,ngerasa,merasa
2436,ngerasain,merasakan
2437,ngerayain,merayakan
2438,ngerayainnya,merayakannya
2439,ngerayainya,merayakannya
2440,ngerayu,merayu
2441,ngeremehin,meremehkan
2442,ngerencanain,merencanakan
2443,ngerepotin,merepotkan
2444,ngeres2,berpikiran kotor
2445,ngeributin,meributkan
2446,ngerintis,merintis
2447,Ngeriset,melakukan riset
2448,ngerix,ngerinya
2449,ngerjain,mengerjakan
2450,ngerokok,merokok
2451,ngertine,yang dimengerti
2452,ngertio,ngertikan
2453,ngerubah,mengubah
2454,ngerugiin,merugikan
2455,ngerugin,merugikan
2456,ngerusak,merusak
2457,ngerusakin,merusakkan
2458,ngetem,nongkrong
2459,ngetuit,ngetweet
2460,ngetwet,ngetweet
2461,ngetwets,ngetweet
2462,ngetwit,ngetweet
2463,ngetwitnya,ngetweetnya
2464,ngfollow,follow
2465,ngfolow,follow
2466,ngg,tidak
2467,ngga,tidak
2468,nggak,tidak
2469,nggakk,tidak
2470,nggakpapa,tidak apa-apa
2471,nggakyk,tidak seperti
2472,nggandeng,menggandeng
2473,ngganjel,mengganjal
2474,ngganteng,ganteng
2475,nggarap,mengerjakan
2476,nggash,memberi
2477,nggawa,membawa
2478,nggawe,membuat
2479,nggih,iya
2480,nggk,tidak
2481,nggo,untuk
2482,nggon,tempat
2483,nggonku,tempatku
2484,nggowes,bersepeda
2485,nggowo,membawa
2486,nggowo2,membawa
2487,nggu,nunggu
2488,nggundulinnya,menggundulinya
2489,ngguyu,tertawa
2490,nggy,gaya
2491,nghirup,menghirup
2492,ngibul,berkhayal
2493,ngidem,ngikut
2494,ngiderin,mengedarkan
2495,ngigau,mengigau
2496,ngih,iya
2497,ngijinin,mengizinkan
2498,ngikutin,mengikuti
2499,ngilang,menghilang
2500,ngilangin,menghilangkan
2501,ngimpi,mimpi
2502,ngimpih,mimpi
2503,ngimpiku,mimpiku
2504,ngincer,mengincar
2505,ngindarin,menghindari
2506,nginep,menginap
2507,nginepnya,menginapnya
2508,ngingetin,mengingatkan
2509,nginjek,menginjak
2510,ngintil,mengikuti
2511,ngintip,mengintip
2512,ngira,mengira
2513,ngiranya,mengiranya
2514,ngirim,mengirim
2515,ngiris,mengiris
2516,ngirup,menghirup
2517,ngis,nangis
2518,ngisi,mengisi
2519,ngiterin,mengitari
2520,ngitung,menghitung
2521,ngitungin,menghitung
2522,ngjak,mengajak
2523,ngjak2,mengajak-ajak
2524,ngjakin,mengajak
2525,ngjakn,mengajak
2526,ngjar,mengajar
2527,ngjarin,mengajari
2528,ngjk,mengajak
2529,ngjkin,mengajak
2530,ngk,tidak
2531,ngke,nanti
2532,ngko,nanti
2533,ngkost,kos
2534,ngkrong,nongkrong
2535,ngku,mengaku
2536,ngkut,ngikut
2537,nglakokne,menjalankan
2538,nglamar,melamar
2539,nglelang,melelang
2540,nglewatin,melewati
2541,ngliat,melihat
2542,ngliatin,melihat
2543,nglumpuke,mengumpulkan
2544,ngmg,ngomong
2545,ngmgn,ngomongin
2546,ngmng,ngomong
2547,ngmngin,ngomongin
2548,ngmngnya,ngomongnya
2549,ngmong,ngomong
2550,ngmongin,ngomongin
2551,ngmpln,mengumpulkan
2552,ngmpul,kumpul
2553,ngmpulin,mengumpulkan
2554,ngmuk,mengamuk
2555,ngnggur,menganggur
2556,ngngkat,mengangkat
2557,ngntuk,mengantuk
2558,ngo,untuk
2559,ngobro,ngobrol
2560,ngoceh,mengoceh
2561,ngocok,mengocok
2562,ngocol,mengocol
2563,ngolek,mencari
2564,ngoleksi,mengoleksi
2565,ngomel,mengomel
2566,ngomgn,ngomongin
2567,ngomogin,ngomongin
2568,ngomong2,ngomong-ngomong
2569,ngomonge,ngomongnya
2570,ngomongin,ngomongin
2571,ngonku,tempatku
2572,ngonoh,begitu
2573,ngonthel,bersepeda
2574,ngontrak,mengontrak
2575,ngopikeun,ngopikan
2576,ngopo,ngapain
2577,ngosek,nanti
2578,ngowes,bersepeda
2579,ngowo,membawa
2580,ngowo2,membawa
2581,ngp,ngapain
2582,ngpain,ngapain
2583,ngpn,ngapain
2584,ngpo,ngapain
2585,ngra,mengira
2586,ngrakit,merakit
2587,ngrasake,merasakan
2588,ngrasakno,merasakan
2589,ngrayain,merayakan
2590,ngrebut,merebut
2591,ngrokok,merokok
2592,ngrsain,merasakan
2593,ngrti,mengerti
2594,ngrusak,merusak
2595,ngsh,ngasih
2596,ngsih,ngasih
2597,ngubah,mengubah
2598,ngubengi,mengitari
2599,ngucapin,mengucapkan
2600,nguidam,ngidam
2601,ngulang,mengulang
2602,nguliah,kuliah
2603,ngumbar,mengumbar
2604,ngumpet,bersembunyi
2605,ngunu,begitu
2606,ngupi,ngopi
2607,ngupi2,ngopi-ngopi
2608,ngurangin,mengurangi
2609,nguras,menguras
2610,ngurusin,mengurusi
2611,ngurusinya,mengurusinya
2612,ngurusinyo,mengurusinya
2613,ngusul,usul
2614,ngusulin,mengusulkan
2615,ngutang,hutang
2616,ngutangi,menghutangi
2617,nguyu,tertawa
2618,nguyuh,kencing
2619,nie,ini
2620,night,malam
2621,nipuin,menipu
2622,nisan,nissan
2623,njih,iya
2624,njupuk,mengambil
2625,nlp,menelpon
2626,nlpn,menelpon
2627,nma,nama
2628,nmanya,namanya
2629,nmax,namanya
2630,nmna,namanya
2631,nmnya,namanya
2632,nmor,nomor
2633,nmpak,tampak
2634,nmpk,tampak
2635,nmr,nomor
2636,nmrnya,nomornya
2637,nmun,namun
2638,nnggu,menunggu
2639,nngguin,tungguin
2640,nngis,nenagis
2641,nnt,nanti
2642,nnton,nonton
2643,nntonnya,nontonnya
2644,no,nomor
2645,nolak,menolak
2646,nolong,menolong
2647,nolongin,menolong
2648,nomer,nomor
2649,nomere,nomornya
2650,nontonya,nontonnya
2651,nope,nomor HP
2652,nothing,tidak ada
2653,notif,pemberitahuan
2654,notifnya,pemberitahuannya
2655,nov,november
2656,now,sekarang
2657,npa,kenapa
2658,ntar,nanti
2659,nti,nanti
2660,ntinya,nantinya
2661,ntip,nitip
2662,ntn,nonton
2663,nton,nonton
2664,ntr,nanti
2665,number,nomor
2666,numpak,naik
2667,nungu,nunggu
2668,nyampe,sampai
2669,nyelengi,menabung
2670,nyelesein,menyelesaikan
2671,nyembuhin,menyembuhkan
2672,nyempetin,menyempatkan
2673,nyenengin,menyenangkan
2674,nyengol,menyenggol
2675,nyepedah,bersepeda
2676,nyesek,bikin sesak
2677,nyesel,menyesal
2678,nynyi,menyanyi
2679,nyokap,ibu
2680,nyolong,mencuri
2681,nyopet,mencopet
2682,nyupir,menyopir
2683,nyupire,menyopir
2684,nyupiri,menyopir
2685,nyuri,mencuri
2686,og,kok
2687,oia,oh iya
2688,ole-ole,oleh-oleh
2689,ole2,oleh-oleh
2690,oleh2,oleh-oleh
2691,omaigat,Ya Tuhan
2692,omaigot,Ya Tuhan
2693,omdo,omong doang
2694,omg,Ya Tuhan
2695,ono,ada
2696,opo,apa
2697,opr,operator
2698,oprtr,operator
2699,optional,pilihan
2700,options,pilihan
2701,ora,tidak
2702,org,orang
2703,org2,orang-orang
2704,orgalay,orang alay
2705,orgil,orang gila
2706,orgnya,orangnya
2707,orgtua,orangtua
2708,ori,original
2709,orng,orang
2710,orng2,orang-orang
2711,orngny,orangnya
2712,other,lainnya
2713,others,lainnya
2714,otmatis,otomatis
2715,otw,lagi di jalan
2716,"p\baikan""",perbaikan
2717,pa2,apa-apa
2718,pabrkan,pabrikan
2719,pacal,pacar
2720,pacalku,pacarku
2721,pager,pagar
2722,pailit,pelit
2723,pakaianya,pakaiannya
2724,pake,pakai
2725,pakein,pakaikan
2726,pakek,pakai
2727,panasnye,panasnya
2728,pancen,memang
2729,pangil,panggil
2730,pangilan,panggilan
2731,pantes,pantas
2732,parent,orangtua
2733,parents,orangtua
2734,party,pesta
2735,pcar,pacar
2736,pcaran,pacaran
2737,pcarku,pacarku
2738,pcr,[acar
2739,pcran,pacaran
2740,pcrmu,pacarmu
2741,pcrn,pacaran
2742,pcrnya,pacarnya
2743,pcrx,pacarnya
2744,pda,pada
2745,pdahal,padahal
2746,pdhal,padahal
2747,pdhalkan,padahalkan
2748,pdhl,padahal
2749,peace,damai
2750,pedes,pedas
2751,pegel,pegal
2752,pegi,pergi
2753,pekerjan,pekerjaan
2754,pelangan,pelanggan
2755,pelastik,plastik
2756,pelayananya,pelayanannya
2757,pelis,*memohon
2758,pelkunya,pelakunya
2759,pemainya,pemainnya
2760,pemakaianya,pemakaiannya
2761,pembayaranya,pembayarannya
2762,pembelan,pembelaan
2763,pembelanjan,pembelanjaan
2764,pembicaran,pembicaraan
2765,pembicraan,pembicaraan
2766,pembicran,pembicaraan
2767,pemkot,pemerintah kota
2768,pemotor,pemakai motor
2769,pemprov,pemerintah provinsi
2770,pencetane,pencetannya
2771,pencinta,pecinta
2772,pencitran,pencitraan
2773,penderitan,penderitaan
2774,pendiem,pendiam
2775,pengantian,penggantian
2776,pengen,ingin
2777,pengerjan,pengerjaan
2778,pengerjanya,pengerjaannya
2779,penghargan,penghargaan
2780,pengila,penggila
2781,penginapa,penginapan
2782,penginepan,penginapan
2783,pengmuman,pengumuman
2784,penguna,pengguna
2785,pengunan,penggunaan
2786,perasan,perasaan
2787,perasanku,perasaanku
2788,perasanmu,perasaanmu
2789,perduli,peduli
2790,perjlanan,perjalanan
2791,perkiran,perkiraan
2792,perkoro,perkara
2793,perktaan,perkataan
2794,perktan,perkataan
2795,permaenan,permainan
2796,permasalahanya,permasalahannya
2797,pertanyanya,pertanyaannya
2798,pertanyanye,pertanyaannya
2799,pesen,pesan
2800,pesenan,pesanan
2801,pesenanku,pesananku
2802,pg,pagi
2803,pgang,pegang
2804,pgar,pagar
2805,pgen,ingin
2806,pggl,panggil
2807,pgguna,pengguna
2808,pgi,pagi
2809,pgi2,pagi-pagi
2810,pgl,panggil
2811,pgn,ingin
2812,pgnnya,inginnya
2813,pguna,pengguna
2814,phk,pihak
2815,photo,foto
2816,picnic,piknik
2817,picnya,gambarnya
2818,pics,gambar
2819,picture,gambar
2820,pijet,pijat
2821,pijete,pijatnya
2822,pilgub,pemilihan gubernur
2823,pingin,ingin
2824,pinjem,pinjam
2825,pinjeman,pinjaman
2826,pinjemin,pinjamkan
2827,pinten,berapa
2828,pinter,pintar
2829,piro,berapa
2830,pis,damai
2831,pisan,sekali
2832,piscok,pisang cokelat
2833,piye,bagaimana
2834,pk,pakai
2835,pkai,pakai
2836,pke,pakai
2837,pkek,pakai
2838,pkeknyo,pakainya
2839,pkerjaan,pekerjaan
2840,pkerjan,pekerjaan
2841,pket,paket
2842,pkok,pokok
2843,pkoke,pokoknya
2844,pkoknya,pokoknya
2845,pkt,paket
2846,place,tempat
2847,please,*memohon
2848,plen,teman
2849,plend,teman
2850,plg,pelanggan
2851,plh,pilih
2852,plih,pilih
2853,plihan,pilihan
2854,plihanmu,pilihanmu
2855,plihannya,pilihannya
2856,plihanya,pilihannya
2857,plis,*memohon
2858,pljar,pelajar
2859,plng,pulang
2860,plnggan,pelanggan
2861,pls,pulsa
2862,plsa,pulsa
2863,pmain,pemain
2864,pmbelian,pembelian
2865,pmbngn,pembangunan
2866,pmbngnn,pembangunan
2867,pmbyran,pembayaran
2868,pmenang,pemenang
2869,pmeran,pameran
2870,pnasx,panasnya
2871,pndah,pindah
2872,pndahkn,pindahkan
2873,pndai,pandai
2874,pndeta,pendeta
2875,pndh,pindah
2876,pndhkan,pindahkan
2877,pndk,pendek
2878,pndngn,pandangan
2879,pndok,pondok
2880,pnempatan,penempatan
2881,png,ingin
2882,pngaduan,pengaduan
2883,pngamatan,pengamatan
2884,pngandaran,pangandaran
2885,pngantin,pengantin
2886,pngawas,pengawas
2887,pngecekan,pengecekan
2888,pngeckn,pengecekan
2889,pngemar,penggemar
2890,pngemudi,pengemudi
2891,pngen,ingin
2892,pnggemar,penggemar
2893,pnggil,panggil
2894,pnggila,panggilan
2895,pnggiln,panggilan
2896,pnggiran,pinggiran
2897,pnggl,panggil
2898,pngguna,pengguna
2899,pngil,panggil
2900,pngila,panggilan
2901,pngiln,penggilan
2902,pngiran,pinggiran
2903,pngkal,pangkal
2904,pngkatan,pangkatan
2905,pngl,panggil
2906,pngn,ingin
2907,pngnnya,inginnya
2908,pngnya,inginnya
2909,pngthan,pengetahuan
2910,pnguna,pengguna
2911,pngunjungna,pengunjungnya
2912,pngusaha,pengusaha
2913,pnh,pernah
2914,pnjam,pinjam
2915,pnjang,panjang
2916,pnjem,pinjam
2917,pnngkatan,peningkatan
2918,pnter,pintar
2919,pntes,pantas
2920,pntg,penting
2921,pnting,penting
2922,pntng,penting
2923,pntu,pintu
2924,pnuh,penuh
2925,pnumpang,penumpang
2926,pnungang,penunggang
2927,pny,punya
2928,pnya,punya
2929,pokoke,pokoknya
2930,pokokmen,pokoknya
2931,pokokna,pokoknya
2932,pokokny,pokoknya
2933,pokoknyah,pokoknya
2934,pokoknye,pokoknya
2935,ponakan2,ponakan-ponakan
2936,posisix,posisinya
2937,position,posisi
2938,positip,positif
2939,positive,positif
2940,poto,foto
2941,poto2,foto-foto
2942,potone,fotonya
2943,potonga,potongan
2944,potongane,potongannya
2945,potonganya,potongannya
2946,potongny,potongannya
2947,prancis,perancis
2948,prasaan,perasaan
2949,prasamu,perasaanmu
2950,prasan,perasaan
2951,prbaikn,perbaikan
2952,prbndinganya,perbandingannya
2953,prbyar,prabayar
2954,prcaya,percaya
2955,prcya,percaya
2956,prduk,produk
2957,prepare,persiapan
2958,present,hadir
2959,prformance,pertunjukan
2960,prg,pergi
2961,prgi,pergi
2962,prginy,perginya
2963,prginya,perginya
2964,prhatian,perhatian
2965,prhatin,perhatikan
2966,prhtungan,perhitungan
2967,price,harga
2968,prlu,perlu
2969,prmintaan,permintaan
2970,prmslhkan,permasalahkan
2971,prmukaan,permukaan
2972,prmukan,permukaan
2973,prnah,pernah
2974,prngkt,perangkat
2975,prnh,pernah
2976,produck,produk
2977,product,produk
2978,promise,berjanji
2979,prtm,pertama
2980,prtma,pertama
2981,prtunjukan,pertunjukan
2982,prumahan,perumahan
2983,prusahaan,perusahaan
2984,prusahan,perusahaan
2985,prushaan,perusahaan
2986,prushan,perusahaan
2987,prustasi,frustasi
2988,prwakilan,perwakilan
2989,ps.mingu,pasar minggu
2990,ps.rebo,pasar rebo
2991,psang,pasang
2992,psangin,pasangkan
2993,psat,pusat
2994,psawat,pesawat
2995,pscabyar,pascabayar
2996,psi,pssi
2997,pst,pasti
2998,psti,pasti
2999,pstikan,pastikan
3000,pstikn,pastikan
3001,pstkn,pastikan
3002,psukan,pasukan
3003,pswt,pesawat
3004,ptgs,petugas
3005,pth,putih
3006,ptih,putih
3007,ptngn,potongan
3008,ptong,potong
3009,ptongn,potongan
3010,puanas,panas
3011,public,publik
3012,pulg,pulang
3013,pulkam,pulang kampung
3014,pulng,pulang
3015,punten,maaf
3016,punx,punya
3017,puny,punya
3018,pupuler,popular
3019,pura2,pura-pura
3020,puteri,putri
3021,puth,putih
3022,putrie,putri
3023,putry,putri
3024,py,bagaimana
3025,pye,bagaimana
3026,q,saya
3027,qlw,kalau
3028,qm,kamu
3029,qt,kita
3030,qta,kita
3031,qu,saya
3032,quality,kualitas
3033,quiz,kuis
3034,raiso,tidak bisa
3035,rame,ramai
3036,rame2,ramai-ramai
3037,rasax,rasanya
3038,realitinya,realitanya
3039,receptionist,resepsionis
3040,regi,harga
3041,relation,relasi
3042,relationship,hubungan
3043,relax,santai
3044,reliability,tahan uji
3045,remember,ingat
3046,remembers,mengingatkan
3047,remembr,ingat
3048,repair,perbaiki
3049,repeat,ulangi
3050,replacement,penggantian
3051,replay,pengulangan
3052,report,laporan
3053,reports,laporan
3054,resources,sumberdaya
3055,respect,rasa hormat
3056,revelusion,revolusi
3057,reverse,kebalikan
3058,review,tinjau
3059,reward,hadiah
3060,rgunan,ragunan
3061,rmah,rumah
3062,rmai,ramai
3063,rmbut,rambut
3064,rmh,rumah
3065,rncana,rencana
3066,rncn,rencana
3067,rncna,rencana
3068,row,baris
3069,rsa,rasa
3070,rsak,rusak
3071,rsany,rasanya
3072,rsanya,rasanya
3073,s.d.,sampai dengan
3074,sabaraha,berapa
3075,sabarahaeun,berapa
3076,saeutik,sedikit
3077,safetybelt,sabuk pengaman
3078,saia,saya
3079,saiki,sekarang
3080,sajah,saja
3081,sakalian,sekalian
3082,sam2,sama-sama
3083,sama2,sama-sama
3084,sampe,sampai
3085,sampein,sampaikan
3086,samperin,datangi
3087,samrinda,samarinda
3088,sangad,sangat
3089,sanget,sangat
3090,sangune,uang sakuku
3091,sangup,sanggup
3092,sante2,santai-santai
3093,sapa,siapa
3094,sapah,siapa
3095,sape,siapa
3096,sarano,sarannya
3097,saranya,sarannya
3098,sarap,saraf
3099,sare,tidur
3100,sarebuan,seribuan
3101,sareng,bareng
3102,sat,saat
3103,satuany,satuannya
3104,satuju,setuju
3105,saudra,saudara
3106,sbaliknya,sebaliknya
3107,sbar,sabar
3108,sbb,sebagai berikut
3109,sbel,sebel
3110,sbelah,sebelah
3111,sbelom,sebelum
3112,sbelum,sebelum
3113,sbelumnya,sebelumnya
3114,sbenarnya,sebenarnya
3115,sbenernya,sebenarnya
3116,sberapo,seberapa
3117,sbg,sebagai
3118,sbgai,sebagai
3119,sbgi,sebagai
3120,sbginya,sebagainya
3121,sbk,sibuk
3122,sblah,sebelah
3123,sblh,sebelah
3124,sblm,sebelum
3125,sblmnya,sebelumnya
3126,sblom,sebelum
3127,sblum,sebelum
3128,sbner,sebenarnya
3129,sbnernya,sebenarnya
3130,sbnrnya,sebenarnya
3131,sbnrnye,sebenarnya
3132,sbntar,sebentar
3133,sbnyk,sebanyak
3134,sbongkah,sebingkah
3135,sbr,sabar
3136,sbraha,berapa
3137,sbrnya,sebenarnya
3138,sbrp,seberapa
3139,sbtr,sebentar
3140,sbtu,sabtu
3141,sbuah,sebuah
3142,sbuk,sibuk
3143,sbut,sebut
3144,sbutin,sebutkan
3145,scandal,skandal
3146,scepatnya,secepatnya
3147,sceptnya,secepatnya
3148,sch,sekolah
3149,schol,sekolah
3150,scholarship,beasiswa
3151,scptny,secepatnya
3152,scptnya,secepatnya
3153,scr,secara
3154,scra,secara
3155,sdah,sudah
3156,sdap,sedap
3157,sdekah,sedekah
3158,sdg,sedang
3159,sdh,sudah
3160,sdih,sedih
3161,sdikit,sedikit
3162,sdkh,sedekah
3163,sdkit,sedikit
3164,sdkt,sedikit
3165,sdng,sedang
3166,sdngkan,sedangkan
3167,sdotan,sedotan
3168,sdra2,saudara-saudara
3169,sebenrnya,sebenarnya
3170,seberapo,seberapa
3171,seblm,sebelum
3172,seblum,sebelum
3173,seblumnya,sebelumnya
3174,sebnarnye,sebenarnya
3175,sebntr,sebentar
3176,sebrang,seberang
3177,sebrangnya,seberangnya
3178,secepetnya,secepatnya
3179,secret,rahasia
3180,security,keamanan
3181,sedaya,semua
3182,sekate,sekata
3183,sekate-kate,sekata-kata
3184,seken,bekas
3185,seklian,sekalian
3186,sekola,sekolah
3187,selese,selesai
3188,seling,selling
3189,seller,penjual
3190,selow,santai
3191,semarfren,smartfren
3192,semlm,semalam
3193,semngat,semangat
3194,sempeet,sempat
3195,send,terkirim
3196,senen,senin
3197,seneng,senang
3198,sepda,sepeda
3199,sepert,seperti
3200,sept,september
3201,service,servis
3202,sgala,segala
3203,sgar,segar
3204,sgera,segera
3205,sgini,segini
3206,sgitu,segitu
3207,sgni,segini
3208,sgt,sangat
3209,shg,sehingga
3210,sht,sehat
3211,siapin,siapkan
3212,signal,sinyal
3213,signalnya,sinyalnya
3214,siji,satu
3215,silahakan,silahkan
3216,silhkan,silahkan
3217,simpen,simpan
3218,simpenan,simpanan
3219,simple,simpel
3220,sitik,sedikit
3221,sj,saja
3222,sja,saja
3223,sjti,sejati
3224,skali,sekali
3225,skali2,sekali-kali
3226,skalian,sekalian
3227,skaligus,sekaligus
3228,skalinya,sekalinya
3229,skarang,sekarang
3230,skg ,sekarang
3231,skit,sakit
3232,skitar,sekitar
3233,skitaran,sekitaran
3234,sklh,sekolah
3235,skola,sekolah
3236,skolah,sekolah
3237,skrg,sekarang
3238,skrng,sekarang
3239,slahkn,silahkan
3240,slain,selain
3241,slalu,selalu
3242,slama,selama
3243,slamat,selamat
3244,slangkah,selangkah
3245,slanjut,selanjut
3246,slanjutnya,selanjutnya
3247,slesai,selesai
3248,slgkuh,selingkuh
3249,slh,salah
3250,slhkan,silahkan
3251,slhkn,silahkan
3252,slmat,selamat
3253,slmt,selamat
3254,slow,santai
3255,slrh,seluruh
3256,slruh,seluruh
3257,slsai,selesai
3258,slse,selesai
3259,slu,selalu
3260,sma,sama
3261,sm,sama
3262,smbg,sombong
3263,smbhyg,sembahyang
3264,smbil,sambil
3265,smbl,sambil
3266,smbong,sombong
3267,smbuh,sembuh
3268,smbung,sambung
3269,smcam,semacam
3270,smcm,semacam
3271,smg,semoga
3272,smga,semoga
3273,smgat,semangat
3274,smgt,semangat
3275,smingu,seminggu
3276,smlem,semalam
3277,smlm,semalam
3278,smoga,semoga
3279,smpah,sumpah
3280,smpai,sampai
3281,smpaikn,sampaikan
3282,smpati,simpati
3283,smpe,sampai
3284,smph,sumpah
3285,smpi,sampai
3286,smpingan,sampingan
3287,smpurna,sempurna
3288,smtr,semester
3289,smua,semua
3290,smw,semua
3291,smwa,semua
3292,sna,sana
3293,sndiri,sendiri
3294,sndirian,sendirian
3295,sndr,sendiri
3296,snen,senin
3297,sneng,senang
3298,sng,senang
3299,sngaja,sengaja
3300,sngat,sangat
3301,sngj,sengaja
3302,sngt,sangat
3303,snguh,sungguh
3304,snilai,senilai
3305,so,jadi
3306,sodara,saudara
3307,sodaraan,bersaudara
3308,sodaramu,saudaramu
3309,sodaran,bersaudara
3310,sodarany,saudaranya
3311,solat,salat
3312,sory,maaf
3313,spnjag,sepanjang
3314,sprt,seperti
3315,sprti,seperti
3316,sprtinya,sepertinya
3317,spt,seperti
3318,spti,seperti
3319,sptny,sepertinya
3320,sptnya,sepertinya
3321,spu2,sepupu
3322,spupu,sepupu
3323,sputar,seputar
3324,spy,supaya
3325,spya,supaya
3326,srapan,sarapan
3327,sratus,seratus
3328,srg,sering
3329,sribu,seribu
3330,sring,sering
3331,srius,serius
3332,sruh,suruh
3333,srvcnya,servisnya
3334,srvice,servis
3335,standard,standar
3336,statement,kalimat
3337,stdy,studi
3338,stengah,setengah
3339,stgah,setengah
3340,stgh,setengah
3341,stia,setia
3342,stiap,setiap
3343,sticker,stiker
3344,still,masih
3345,stingi,setinggi
3346,stlah,setelah
3347,stlh,setelah
3348,stngah,setengah
3349,stngh,setengah
3350,stock,persediaan
3351,stuju,setuju
3352,stupid,bodoh
3353,subjec,subjek
3354,subject,subjek
3355,sulsel,sulawesi selatan
3356,sumpeh,sumpah
3357,sumph,sumpah
3358,sunguh,sungguh
3359,sunguh-sunguh,sungguh-sungguh
3360,sunguh2,sungguh-sungguh
3361,sunguhan,sungguhan
3362,swt,subhanahu wata'ala
3363,sy,saya
3364,sya,saya
3365,syg,sayang
3366,syp,siapa
3367,sypa,siapa
3368,syudah,sudah
3369,syukr,terimakasih
3370,syukron,terimakasih
3371,tahzan,bersedih
3372,tajir,kaya
3373,tak,tidak
3374,takada,tidak ada
3375,takan,tidak akan
3376,takboleh,tidak boleh
3377,takda,tidak ada
3378,takdapat,tidak dapat
3379,takde,tidak ada
